Symbol	Name	Change	% Change	Price (Intraday)	50 Day Average	200 Day Average	3-Mo Return	YTD Return	52 Week Range
0P0000XW8P.BO	HDFC Equity Savings Fund -Direct Plan Dividend Payout Option	+0.05	+0.36%	13.58	13.55	13.46	4.25%	2.92%	
0P0001BA7C.BO	HDFC Equity Savings Fund Dividend Reinvestment	+0.04	+0.35%	11.84	11.85	11.83	3.77%	2.19%	
0P0001BA7B.BO	HDFC Equity Savings Fund -Direct Plan Dividend Reinvestment Option	+0.05	+0.36%	13.58	13.55	13.46	4.25%	2.92%	
0P00005V0N.BO	HDFC Equity Savings Fund Dividend Payout	+0.04	+0.35%	11.84	11.85	11.83	3.77%	2.19%	
0P0000XW8Q.BO	HDFC Equity Savings Fund -Direct Plan - Growth Option	+0.21	+0.36%	57.90	56.92	55.44	5.95%	4.62%	
0P00005V0O.BO	HDFC Equity Savings Fund Growth	+0.19	+0.36%	52.73	51.86	50.67	5.70%	4.13%	
0P0000VTOL.BO	ICICI Pru Life-Maximiser Fund V	+0.44	+1.09%	40.62	39.10	37.92	13.20%	6.20%	
0P0000NRF4.BO	SBI Life - Bond Fund	-0.05	-0.13%	42.50	42.32	41.16	2.69%	4.04%	
0P0000NRF7.BO	SBI Life - Equity Fund	+1.67	+1.12%	149.35	144.22	141.27	11.89%	4.99%	
0P0000NNF9.BO	HDFC Standard Life - Opportunities Wealth Builder Fund	+0.37	+0.73%	51.28	48.63	46.91	18.06%	10.12%	
0P0001BAEJ.BO	ICICI Prudential Liquid Fund Dividend Reinvestment Others	+0.03	+0.02%	156.26	155.49	152.88	1.77%	3.40%	
0P0001BAEE.BO	ICICI Prudential Liquid Fund Direct Plan Weekly Dividend Reinvestment	+0.02	+0.02%	100.24	100.25	100.25	1.79%	3.31%	
0P0000XUYC.BO	ICICI Prudential Liquid Fund Direct Plan Growth	+0.07	+0.02%	338.87	337.38	332.55	1.79%	3.43%	
0P00005UNG.BO	ICICI Prudential Liquid Fund Daily Dividend Reinvestment	0.00	0.00%	100.15	100.15	100.15	1.73%	3.36%	
0P0000XUYB.BO	ICICI Prudential Liquid Fund Direct Plan Daily Dividend Reinvestment	0.00	0.00%	100.11	100.11	100.11	1.75%	3.40%	
0P00005UNH.BO	ICICI Prudential Liquid Fund Growth	+0.06	+0.02%	336.22	334.76	330.04	1.77%	3.38%	
0P00005UNJ.BO	ICICI Prudential Liquid Fund Weekly Dividend Payout	+0.02	+0.02%	100.21	100.23	100.23	0.60%	2.21%	
0P00014CFF.BO	ICICI Prudential Liquid Fund Dividend Payout Others	+0.03	+0.02%	156.26	155.49	152.88	1.77%	3.40%	
0P0000ZRWT.BO	ICICI Prudential Liquid Fund Direct Plan Dividend Payout Others	+0.03	+0.02%	157.17	156.38	153.70	1.79%	3.45%	
0P0000XVOR.BO	Tata Treasury Advantage Fund Direct Plan Weekly Dividend Payout	+0.28	+0.03%	1,008.27	1,008.49	1,008.47	2.06%	3.64%	
0P0001BBEF.BO	Tata Treasury Advantage Fund Regular Periodic Dividend Reinvestment	+0.57	+0.03%	2,160.13	2,147.60	2,101.23	1.98%	3.48%	
0P0001BBEG.BO	Tata Treasury Advantage Fund Regular Weekly Dividend Reinvestment	+0.26	+0.03%	1,008.26	1,008.49	1,008.44	1.98%	3.48%	
0P00005WHG.BO	Tata Treasury Advantage Fund Regular Daily Dividend Reinvestment	0.00	0.00%	1,003.53	1,003.53	1,003.50	1.97%	3.47%	
0P0001BBEE.BO	Tata Treasury Advantage Fund Direct Plan Weekly Dividend Reinvestment	+0.28	+0.03%	1,008.27	1,008.49	1,008.47	2.06%	3.64%	
0P00005WHH.BO	Tata Treasury Advantage Fund Regular Growth	+0.89	+0.03%	3,407.94	3,388.57	3,315.48	1.98%	3.49%	
